layer,tokens,time_us
embedding,1,4.288
embedding,2,4.97033
embedding,3,4.85367
embedding,4,5.19467
embedding,5,5.536
embedding,6,6.187
embedding,7,6.19733
embedding,8,6.33533
embedding,9,6.656
embedding,10,7.2
embedding,11,7.12567
embedding,12,7.57333
embedding,13,7.72267
embedding,14,8.394
embedding,15,8.288
embedding,16,8.58667
embedding,20,3.94667
embedding,24,4.08533
embedding,28,4.24633
embedding,32,3.87167
embedding,36,3.84
embedding,40,4.16
embedding,44,3.76533
embedding,48,4.04267
embedding,52,3.88333
embedding,56,4.043
embedding,60,3.84
embedding,64,4.18133
embedding,80,3.95733
embedding,96,4.13867
embedding,112,4.05333
embedding,128,4.21333
embedding,144,4.64
embedding,160,4.84267
embedding,176,4.46933
embedding,192,4.83167
embedding,208,4.58633
embedding,224,4.83167
embedding,240,4.62967
embedding,256,4.45833
embedding,272,5.376
embedding,288,5.365
embedding,304,5.11933
embedding,320,4.949
embedding,336,5.301
embedding,352,5.42967
embedding,368,5.26933
embedding,384,5.461
embedding,400,5.75933
embedding,416,5.61067
embedding,432,5.984
embedding,448,6.016
embedding,464,5.78167
embedding,480,5.739
embedding,496,5.84567
embedding,512,5.824
embedding,528,5.749
embedding,544,6.261
embedding,560,6.29333
embedding,576,6.016
embedding,592,5.856
embedding,608,6.31467
embedding,624,6.50667
embedding,640,6.41033
embedding,656,6.50633
embedding,672,6.47467
embedding,688,5.98433
embedding,704,6.059
embedding,720,6.49567
embedding,736,6.50733
embedding,752,6.037
embedding,768,6.208
embedding,784,6.81633
embedding,800,6.837
embedding,816,6.816
embedding,832,6.858
embedding,848,6.95467
embedding,864,6.93333
embedding,880,6.85867
embedding,896,7.03967
embedding,912,7.00733
embedding,928,7.01867
embedding,944,6.709
embedding,960,6.60233
embedding,976,7.094
embedding,992,7.136
embedding,1008,6.79533
embedding,1024,6.784
embedding,1040,7.12533
embedding,1056,7.26367
embedding,1072,6.86967
embedding,1088,6.891
embedding,1104,7.296
embedding,1120,7.44533
embedding,1136,7.13633
embedding,1152,7.18933
embedding,1168,7.573
embedding,1184,7.61633
embedding,1200,7.733
embedding,1216,7.765
embedding,1232,8.20267
embedding,1248,7.85067
embedding,1264,7.86067
embedding,1280,8.021
embedding,1296,7.91433
embedding,1312,8.09633
embedding,1328,7.99967
embedding,1344,7.95667
embedding,1360,8.12833
embedding,1376,8.107
embedding,1392,8.128
embedding,1408,8.02133
embedding,1424,8.18133
embedding,1440,7.92567
embedding,1456,7.925
embedding,1472,8.224
embedding,1488,8.27733
embedding,1504,7.893
embedding,1520,8.128
embedding,1536,8.27733
embedding,1552,8.28833
embedding,1568,8.38433
embedding,1584,8.31967
embedding,1600,8.40467
embedding,1616,8.42667
embedding,1632,8.38333
embedding,1648,8.33067
embedding,1664,8.52233
embedding,1680,8.52233
embedding,1696,8.448
embedding,1712,8.45867
embedding,1728,8.47
embedding,1744,8.45833
embedding,1760,8.53333
embedding,1776,8.51267
embedding,1792,8.52267
embedding,1808,8.512
embedding,1824,8.63967
embedding,1840,8.576
embedding,1856,8.78933
embedding,1872,8.84267
embedding,1888,8.81067
embedding,1904,8.704
embedding,1920,8.725
embedding,1936,8.84267
embedding,1952,8.85333
embedding,1968,8.82133
embedding,1984,8.87467
embedding,2000,8.88533
embedding,2016,8.96
embedding,2032,8.91733
embedding,2048,9.09833
final_layernorm,1,3.34933
final_layernorm,2,3.08267
final_layernorm,3,3.12567
final_layernorm,4,3.17867
final_layernorm,5,3.11467
final_layernorm,6,3.10367
final_layernorm,7,3.15733
final_layernorm,8,3.11467
final_layernorm,9,3.13633
final_layernorm,10,3.21067
final_layernorm,11,3.50933
final_layernorm,12,3.50933
final_layernorm,13,3.488
final_layernorm,14,3.46667
final_layernorm,15,3.552
final_layernorm,16,3.47733
final_layernorm,20,3.43467
final_layernorm,24,3.43467
final_layernorm,28,3.42433
final_layernorm,32,3.54133
final_layernorm,36,3.46667
final_layernorm,40,3.47767
final_layernorm,44,3.47733
final_layernorm,48,3.54133
final_layernorm,52,3.46667
final_layernorm,56,3.43467
final_layernorm,60,3.50967
final_layernorm,64,3.47733
final_layernorm,80,3.62667
final_layernorm,96,3.57333
final_layernorm,112,3.61567
final_layernorm,128,3.57267
final_layernorm,144,3.66867
final_layernorm,160,4.07467
final_layernorm,176,4.14967
final_layernorm,192,4.14933
final_layernorm,208,4.17067
final_layernorm,224,4.16
final_layernorm,240,4.277
final_layernorm,256,4.672
final_layernorm,272,4.49067
final_layernorm,288,4.64
final_layernorm,304,4.736
final_layernorm,320,4.97033
final_layernorm,336,4.928
final_layernorm,352,4.92767
final_layernorm,368,5.18367
final_layernorm,384,4.992
final_layernorm,400,5.25833
final_layernorm,416,5.16267
final_layernorm,432,5.056
final_layernorm,448,5.408
final_layernorm,464,5.61067
final_layernorm,480,5.707
final_layernorm,496,5.71767
final_layernorm,512,5.70633
final_layernorm,528,5.856
final_layernorm,544,5.6
final_layernorm,560,5.728
final_layernorm,576,5.856
final_layernorm,592,5.824
final_layernorm,608,6.13333
final_layernorm,624,6.08
final_layernorm,640,6.19733
final_layernorm,656,6.19733
final_layernorm,672,6.32533
final_layernorm,688,6.432
final_layernorm,704,6.52833
final_layernorm,720,6.37867
final_layernorm,736,6.38933
final_layernorm,752,6.70933
final_layernorm,768,6.912
final_layernorm,784,6.83667
final_layernorm,800,6.97667
final_layernorm,816,6.82667
final_layernorm,832,6.95467
final_layernorm,848,6.94367
final_layernorm,864,7.07233
final_layernorm,880,6.95467
final_layernorm,896,7.36
final_layernorm,912,7.499
final_layernorm,928,7.62667
final_layernorm,944,7.75467
final_layernorm,960,7.712
