layer,sequences,time_us
lm_head,1,103.882
lm_head,2,104.704
lm_head,3,105.74
lm_head,4,103.179
lm_head,5,102.965
lm_head,6,104.448
lm_head,7,104.319
lm_head,8,104.17
lm_head,9,103.04
lm_head,10,104.043
lm_head,11,103.68
lm_head,12,103.947
lm_head,13,104.469
lm_head,14,104.906
lm_head,15,105.024
lm_head,16,104.8
lm_head,20,105.995
lm_head,24,106.464
lm_head,28,107.68
lm_head,32,108.885
lm_head,36,108.608
lm_head,40,109.088
lm_head,44,108.65
lm_head,48,109.002
lm_head,52,103.552
lm_head,56,102.528
lm_head,60,108.075
lm_head,64,104.256
lm_head,80,105.376
lm_head,96,107.647
lm_head,112,111.658
lm_head,128,112.81
lm_head,144,124.352
lm_head,160,115.285
lm_head,176,116.106
lm_head,192,125.952
lm_head,208,126.24
lm_head,224,126.496
lm_head,240,127.05
lm_head,256,127.509
sampler,1,15.4453
sampler,2,15.6683
sampler,3,17.0553
sampler,4,17.4077
sampler,5,17.2047
sampler,6,17.5357
sampler,7,17.4827
sampler,8,18.2187
sampler,9,19.6687
sampler,10,20.16
sampler,11,20.4907
sampler,12,20.779
sampler,13,20.9377
sampler,14,21.0453
sampler,15,21.545
sampler,16,22.5707
sampler,20,25.0347
sampler,24,28.1067
sampler,28,29.877
sampler,32,32.576
sampler,36,34.24
sampler,40,36.9497
sampler,44,38.6333
sampler,48,39.7977
sampler,52,42.2197
sampler,56,44.065
sampler,60,46.6773
sampler,64,47.637
sampler,80,55.7333
sampler,96,65.099
sampler,112,74.3893
sampler,128,83.3393
sampler,144,93.834
sampler,160,101.93
sampler,176,113.472
sampler,192,124.352
sampler,208,132.629
sampler,224,141.301
sampler,240,152.331
sampler,256,163.211
