prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,8.26667
0,0,1,64,8.32
0,0,1,256,9.33333
0,0,1,1024,10.2403
0,0,1,4096,10.7417
0,0,1,16384,15.6057
0,0,2,16,8.21333
0,0,2,64,8.224
0,0,2,256,9.39733
0,0,2,1024,10.1547
0,0,2,4096,10.7947
0,0,2,16384,16.2987
0,0,4,16,8.26633
0,0,4,64,8.35233
0,0,4,256,9.40833
0,0,4,1024,10.5703
0,0,4,4096,11.3707
0,0,4,16384,19.1357
0,0,8,16,8.48
0,0,8,64,8.501
0,0,8,256,9.55733
0,0,8,1024,10.5063
0,0,8,4096,11.7443
0,0,8,16384,22.5063
0,0,16,16,8.683
0,0,16,64,8.60733
0,0,16,256,9.81367
0,0,16,1024,10.784
0,0,16,4096,16.6933
0,0,16,16384,31.7877
0,0,32,16,8.74633
0,0,32,64,8.768
0,0,32,256,9.80267
0,0,32,1024,12.011
0,0,32,4096,20.2987
0,0,32,16384,49.152
0,0,64,16,8.78933
0,0,64,64,9.17333
0,0,64,256,10.368
0,0,64,1024,15.1677
0,0,64,4096,32.0957
0,0,64,16384,87.8827
0,0,128,16,10.1117
0,0,128,64,10.0907
0,0,128,256,12.2983
0,0,128,1024,22.1443
0,0,128,4096,53.4723
0,0,128,16384,161.077
0,0,256,16,13.568
0,0,256,64,13.3543
0,0,256,256,18.1543
0,0,256,1024,36.4697
0,0,256,4096,94.026
0,0,256,16384,312.137
16,0,0,0,9.75967
16,0,1,16,15.499
16,0,1,64,15.285
16,0,1,256,16.491
16,0,1,1024,17.1203
16,0,1,4096,17.8987
16,0,1,16384,22.465
16,0,2,16,15.5193
16,0,2,64,15.6477
16,0,2,256,16.704
16,0,2,1024,17.2263
16,0,2,4096,17.8983
16,0,2,16384,24.0743
16,0,4,16,15.3703
16,0,4,64,15.4347
16,0,4,256,16.9707
16,0,4,1024,17.696
16,0,4,4096,18.4003
16,0,4,16384,25.846
16,0,8,16,15.605
16,0,8,64,15.7117
16,0,8,256,16.9603
16,0,8,1024,17.749
16,0,8,4096,18.6877
16,0,8,16384,29.4083
16,0,16,16,15.7333
16,0,16,64,15.915
16,0,16,256,16.853
16,0,16,1024,17.8663
16,0,16,4096,23.4243
16,0,16,16384,38.635
16,0,32,16,15.8293
16,0,32,64,15.7447
16,0,32,256,17.1417
16,0,32,1024,18.9977
16,0,32,4096,27.317
16,0,32,16384,55.808
16,0,64,16,15.7333
16,0,64,64,16
16,0,64,256,17.216
16,0,64,1024,21.9417
16,0,64,4096,38.6023
16,0,64,16384,94.3893
16,0,128,16,16.9387
16,0,128,64,16.9913
16,0,128,256,19.178
16,0,128,1024,28.5757
16,0,128,4096,59.605
16,0,128,16384,167.562
16,16,0,0,9.63167
16,16,1,16,15.1357
16,16,1,64,15.2107
16,16,1,256,16.5333
16,16,1,1024,17.12
16,16,1,4096,17.856
16,16,1,16384,22.5277
16,16,2,16,15.2853
16,16,2,64,15.3487
16,16,2,256,16.5647
16,16,2,1024,17.4183
16,16,2,4096,17.9943
16,16,2,16384,24.203
16,16,4,16,15.4993
16,16,4,64,15.3597
16,16,4,256,16.5973
16,16,4,1024,17.6747
16,16,4,4096,18.283
16,16,4,16384,25.8773
16,16,8,16,15.8083
