regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,28.096,30.464,30.144,0.8649
pure,2,1,0.5,4.0,0,0,1024,4096,2560,31.201,32.224,32.031,0.8113
mixed,2,1,0.5,4.0,16,0,128,512,320,49.759,51.552,50.88,0.6252
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,52.927,53.694,52.736,-0.249
mixed,2,1,0.5,4.0,16,512,128,512,320,65.408,69.345,68.32,0.7396
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,69.663,70.882,70.047,0.315
mixed,2,1,0.5,4.0,16,4096,128,512,320,189.695,189.631,190.464,
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,194.496,194.558,193.887,-9.8226
mixed,2,1,0.5,4.0,16,8192,128,512,320,342.497,346.464,340.0,-0.6294
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,337.182,355.584,347.551,0.5635
mixed,2,1,0.5,4.0,128,0,128,512,320,52.191,53.376,53.888,1.4321
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,54.849,56.513,54.88,0.0186
mixed,2,1,0.5,4.0,128,512,128,512,320,68.288,71.647,71.487,0.9524
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,72.0,73.502,72.128,0.0852
mixed,2,1,0.5,4.0,128,4096,128,512,320,192.383,191.808,193.181,
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,196.286,197.343,195.328,-0.9063
mixed,2,1,0.5,4.0,128,8192,128,512,320,352.192,348.864,343.873,
mixed,2,1,0.5,4.0,128,8192,1024,4096,2560,352.864,356.8,355.039,0.5526
mixed,2,1,0.5,4.0,1024,0,128,512,320,88.864,91.744,91.04,0.7556
mixed,2,1,0.5,4.0,1024,0,1024,4096,2560,93.248,93.854,93.025,-0.368
mixed,2,1,0.5,4.0,1024,512,128,512,320,108.225,107.294,108.481,
mixed,2,1,0.5,4.0,1024,512,1024,4096,2560,111.681,112.703,111.808,0.1243
mixed,2,1,0.5,4.0,1024,4096,128,512,320,238.623,238.081,240.574,
mixed,2,1,0.5,4.0,1024,4096,1024,4096,2560,243.456,243.934,243.295,-0.3368
mixed,2,1,0.5,4.0,1024,8192,128,512,320,404.0,402.526,403.552,
mixed,2,1,0.5,4.0,1024,8192,1024,4096,2560,407.295,416.609,414.974,0.8245
mixed,2,1,0.5,4.0,2048,0,128,512,320,135.52,135.807,136.32,2.7875
mixed,2,1,0.5,4.0,2048,0,1024,4096,2560,139.647,140.926,139.967,0.2502
mixed,2,1,0.5,4.0,2048,512,128,512,320,155.584,155.775,157.248,8.712
mixed,2,1,0.5,4.0,2048,512,1024,4096,2560,160.382,161.826,161.664,0.8878
mixed,2,1,0.5,4.0,2048,4096,128,512,320,296.511,298.656,297.984,0.6867
mixed,2,1,0.5,4.0,2048,4096,1024,4096,2560,299.937,301.983,302.878,1.4374
mixed,2,1,0.5,4.0,2048,8192,128,512,320,475.996,476.736,479.456,4.6757
mixed,2,1,0.5,4.0,2048,8192,1024,4096,2560,481.985,485.471,483.616,0.4679
