pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.4197,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.3817,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.4507,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.2974,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.3472,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.4061,4
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.2906,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.1689,1
0,n<=128,sr>70%,kvB<=1k,kp=0,0.4922,2
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0611,2
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.844,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.5296,3
0,n<=16,sr<=40%,kvB<=1k,kp=0,1.0312,2
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.5392,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.9737,1
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.6134,1
0,n<=16,sr>70%,kvB<=1k,kp=0,1.0258,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.5537,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.8649,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.8113,1
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.2426,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.1799,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.1979,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.062,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.1808,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.2154,4
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0939,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0226,1
0,n<=256,sr>70%,kvB<=1k,kp=0,0.6368,2
0,n<=256,sr>70%,kvB<=4k,kp=0,0.3494,2
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.4609,2
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.4534,2
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.3,2
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.3933,5
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.3864,2
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.3945,2
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.3662,2
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.3838,3
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.4451,1
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.4615,1
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,-0.089,1
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.3975,1
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,0.3053,1
16,n<=128,sr<=40%,kvB<=4k,kp<=512,0.2993,1
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.3195,1
16,n<=128,sr<=40%,kvB<=4k,kp=0,0.3051,1
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.4421,4
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.4386,4
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.2148,4
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.4219,4
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.4241,4
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.4245,4
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.4366,4
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.42,4
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.2325,1
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.3125,1
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.4159,1
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.2551,1
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.1699,1
16,n<=128,sr<=70%,kvB<=4k,kp<=512,0.1812,1
