prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,8.37333
0,0,1,64,8.36267
0,0,1,256,9.67467
0,0,1,1024,10.251
0,0,1,4096,10.805
0,0,1,16384,16.341
0,0,2,16,11.808
0,0,2,64,11.936
0,0,2,256,12.9707
0,0,2,1024,13.9093
0,0,2,4096,14.5913
0,0,2,16384,22.4743
0,0,4,16,12.1923
0,0,4,64,12.213
0,0,4,256,13.4833
0,0,4,1024,14.2613
0,0,4,4096,15.3927
0,0,4,16384,25.536
0,0,8,16,12.288
0,0,8,64,12.256
0,0,8,256,13.5893
0,0,8,1024,14.678
0,0,8,4096,19.8407
0,0,8,16384,33.685
0,0,16,16,12.5977
0,0,16,64,12.843
0,0,16,256,13.8873
0,0,16,1024,15.9463
0,0,16,4096,22.944
0,0,16,16384,51.552
0,0,32,16,13.0237
0,0,32,64,12.9073
0,0,32,256,14.709
0,0,32,1024,18.6457
0,0,32,4096,33.3763
0,0,32,16384,88.5117
0,0,64,16,13.845
0,0,64,64,13.8887
0,0,64,256,16.0853
0,0,64,1024,23.499
0,0,64,4096,53.0567
0,0,64,16384,162.314
0,0,128,16,17.7177
0,0,128,64,17.0243
0,0,128,256,21.216
0,0,128,1024,35.723
0,0,128,4096,91.7647
0,0,128,16384,317.119
0,0,256,16,23.5093
0,0,256,64,23.0403
0,0,256,256,29.0243
0,0,256,1024,56.309
0,0,256,4096,166.464
0,0,256,16384,609.684
16,0,0,0,14.069
16,0,1,16,19.1143
16,0,1,64,19.2647
16,0,1,256,20.256
16,0,1,1024,21.1947
16,0,1,4096,21.6957
16,0,1,16384,27.466
16,0,2,16,22.1547
16,0,2,64,21.9843
16,0,2,256,23.2637
16,0,2,1024,24.362
16,0,2,4096,25.1407
16,0,2,16384,33.2477
16,0,4,16,23.156
16,0,4,64,23.2533
16,0,4,256,24.416
16,0,4,1024,25.366
16,0,4,4096,26.613
16,0,4,16384,36.48
16,0,8,16,22.4533
16,0,8,64,22.262
16,0,8,256,23.5733
16,0,8,1024,24.704
16,0,8,4096,29.7817
16,0,8,16384,44.544
16,0,16,16,23.1037
16,0,16,64,23.2097
16,0,16,256,24.512
16,0,16,1024,26.4423
16,0,16,4096,33.419
16,0,16,16384,61.7707
16,0,32,16,23.5633
16,0,32,64,23.221
16,0,32,256,25.099
16,0,32,1024,29.0773
16,0,32,4096,43.339
16,0,32,16384,99.5197
16,0,64,16,24.341
16,0,64,64,24.4803
16,0,64,256,26.5287
16,0,64,1024,34.1233
16,0,64,4096,63.488
16,0,64,16384,174.272
16,0,128,16,27.797
16,0,128,64,27.6687
16,0,128,256,31.4667
16,0,128,1024,46.571
16,0,128,4096,101.941
16,0,128,16384,322.954
16,16,0,0,13.9953
16,16,1,16,19.3177
16,16,1,64,19.083
16,16,1,256,20.4263
16,16,1,1024,20.8967
16,16,1,4096,21.7173
16,16,1,16384,27.275
16,16,2,16,22.3887
16,16,2,64,22.2727
16,16,2,256,23.3917
16,16,2,1024,24.8203
16,16,2,4096,25.1737
16,16,2,16384,33.558
16,16,4,16,23.242
16,16,4,64,23.254
16,16,4,256,24.4277
16,16,4,1024,25.365
16,16,4,4096,26.6343
16,16,4,16384,36.6933
16,16,8,16,22.5597
16,16,8,64,22.6023
16,16,8,256,23.755
16,16,8,1024,24.47
16,16,8,4096,30.1867
16,16,8,16384,44.6393
16,16,16,16,23.3063
16,16,16,64,23.1563
16,16,16,256,24.6397
16,16,16,1024,26.2187
16,16,16,4096,33.8343
16,16,16,16384,62.0057
16,16,32,16,23.403
16,16,32,64,23.5097
16,16,32,256,24.6933
16,16,32,1024,28.9277
16,16,32,4096,43.4773
16,16,32,16384,99.8503
16,16,64,16,24.2883
16,16,64,64,24.405
16,16,64,256,26.3043
16,16,64,1024,33.8133
16,16,64,4096,63.264
16,16,64,16384,173.087
16,16,128,16,27.9043
16,16,128,64,27.5527
16,16,128,256,31.8187
16,16,128,1024,46.4427
16,16,128,4096,101.706
16,16,128,16384,321.077
16,64,0,0,13.931
16,64,1,16,19.168
16,64,1,64,19.2213
16,64,1,256,20.0323
16,64,1,1024,21.0777
16,64,1,4096,21.9307
16,64,1,16384,27.445
16,64,2,16,21.9743
16,64,2,64,22.0693
16,64,2,256,23.1147
16,64,2,1024,24.362
16,64,2,4096,25.0887
16,64,2,16384,33.2473
16,64,4,16,23.0827
16,64,4,64,23.0497
16,64,4,256,24.1923
16,64,4,1024,25.1417
16,64,4,4096,26.3463
16,64,4,16384,36.3947
16,64,8,16,22.293
16,64,8,64,22.3787
16,64,8,256,23.6907
16,64,8,1024,24.608
16,64,8,4096,30.091
16,64,8,16384,44.7573
16,64,16,16,23.083
16,64,16,64,23.243
16,64,16,256,24.5017
16,64,16,1024,26.3893
16,64,16,4096,33.6217
16,64,16,16384,62.464
16,64,32,16,23.2323
16,64,32,64,23.3493
16,64,32,256,24.832
16,64,32,1024,29.0453
16,64,32,4096,43.5513
16,64,32,16384,99.6797
16,64,64,16,24.2667
16,64,64,64,24.278
16,64,64,256,26.474
16,64,64,1024,33.952
16,64,64,4096,62.976
16,64,64,16384,173.781
16,64,128,16,27.978
16,64,128,64,27.7113
16,64,128,256,31.604
16,64,128,1024,46.8467
16,64,128,4096,102.186
16,64,128,16384,322.516
16,256,0,0,16.736
16,256,1,16,22.1653
16,256,1,64,21.9617
16,256,1,256,23.0613
16,256,1,1024,24.159
16,256,1,4096,24.5757
16,256,1,16384,30.1763
16,256,2,16,25.0773
16,256,2,64,25.153
16,256,2,256,26.2717
16,256,2,1024,27.3177
16,256,2,4096,28.149
16,256,2,16384,36.2347
16,256,4,16,25.9943
16,256,4,64,26.1443
16,256,4,256,27.1667
16,256,4,1024,28.053
16,256,4,4096,29.407
16,256,4,16384,39.4657
16,256,8,16,25.461
16,256,8,64,25.227
16,256,8,256,26.464
16,256,8,1024,27.6583
16,256,8,4096,32.8853
16,256,8,16384,47.169
16,256,16,16,26.2187
16,256,16,64,26.2183
16,256,16,256,27.616
16,256,16,1024,29.1947
16,256,16,4096,36.6083
16,256,16,16384,65.142
16,256,32,16,26.0693
16,256,32,64,26.1657
16,256,32,256,27.6913
16,256,32,1024,31.7643
16,256,32,4096,46.1337
16,256,32,16384,101.632
16,256,64,16,26.9857
16,256,64,64,27.0937
16,256,64,256,29.6
16,256,64,1024,36.8747
16,256,64,4096,66.1437
16,256,64,16384,175.989
16,256,128,16,30.9653
16,256,128,64,30.677
16,256,128,256,34.5073
16,256,128,1024,49.1733
16,256,128,4096,105.259
16,256,128,16384,326.687
16,1024,0,0,25.621
16,1024,1,16,31.8293
16,1024,1,64,31.9353
16,1024,1,256,31.744
16,1024,1,1024,33.099
16,1024,1,4096,33.259
16,1024,1,16384,39.381
16,1024,2,16,35.062
16,1024,2,64,35.179
16,1024,2,256,34.9227
16,1024,2,1024,36.2137
16,1024,2,4096,36.949
16,1024,2,16384,44.833
16,1024,4,16,36.2027
16,1024,4,64,36.1277
16,1024,4,256,35.8283
16,1024,4,1024,37.0133
16,1024,4,4096,38.4643
16,1024,4,16384,48.384
16,1024,8,16,35.328
16,1024,8,64,35.339
16,1024,8,256,34.848
16,1024,8,1024,36.5767
16,1024,8,4096,41.792
16,1024,8,16384,56.2233
16,1024,16,16,36.683
16,1024,16,64,36.8533
16,1024,16,256,36.3953
16,1024,16,1024,38.1647
16,1024,16,4096,45.589
16,1024,16,16384,73.5573
16,1024,32,16,36.917
16,1024,32,64,37.0673
16,1024,32,256,37.0133
16,1024,32,1024,40.8527
16,1024,32,4096,55.8723
16,1024,32,16384,111.019
16,1024,64,16,36.0957
16,1024,64,64,36.2023
16,1024,64,256,38.2077
16,1024,64,1024,46.2183
16,1024,64,4096,75.5417
16,1024,64,16384,184.725
