layer,tokens,time_us
act_fn,1,3.691
act_fn,2,3.47733
act_fn,3,3.648
act_fn,4,3.57333
act_fn,5,3.50933
act_fn,6,3.541
act_fn,7,3.54133
act_fn,8,3.56267
act_fn,9,3.755
act_fn,10,3.776
act_fn,11,3.98933
act_fn,12,3.904
act_fn,13,3.94667
act_fn,14,3.94667
act_fn,15,3.882
act_fn,16,4.02133
act_fn,20,4.032
act_fn,24,4.14933
act_fn,28,4.02133
act_fn,32,4.04267
act_fn,36,4.096
act_fn,40,4.17067
act_fn,44,4.04267
act_fn,48,4.04233
act_fn,52,4.128
act_fn,56,4.10633
act_fn,60,4.05333
act_fn,64,4.09567
act_fn,80,4.192
act_fn,96,4.24567
act_fn,112,4.10633
act_fn,128,4.224
act_fn,144,4.04267
act_fn,160,6.13333
act_fn,176,6.08033
act_fn,192,6.176
act_fn,208,6.293
act_fn,224,6.42133
act_fn,240,6.54933
act_fn,256,6.51733
act_fn,272,6.592
act_fn,288,6.667
act_fn,304,8.629
act_fn,320,9.45067
act_fn,336,9.57867
act_fn,352,9.59967
act_fn,368,9.83433
act_fn,384,10.0053
act_fn,400,10.1227
act_fn,416,10.1223
act_fn,432,10.1973
act_fn,448,11.733
act_fn,464,12.021
act_fn,480,12.064
act_fn,496,12.1707
act_fn,512,12.224
act_fn,528,12.768
act_fn,544,12.8747
act_fn,560,12.949
act_fn,576,13.184
act_fn,592,13.1947
act_fn,608,14.3997
act_fn,624,14.795
act_fn,640,14.6453
act_fn,656,15.147
act_fn,672,15.7437
act_fn,688,15.9787
act_fn,704,16.2557
act_fn,720,16.1813
act_fn,736,16.2457
act_fn,752,17.088
act_fn,768,17.4403
act_fn,784,17.5573
act_fn,800,17.7387
act_fn,816,18.4213
act_fn,832,18.5067
act_fn,848,18.7093
act_fn,864,18.9333
act_fn,880,19.0507
act_fn,896,19.3063
act_fn,912,20.1173
act_fn,928,20.2447
act_fn,944,20.523
act_fn,960,21.056
act_fn,976,21.3547
act_fn,992,21.5893
act_fn,1008,21.8663
act_fn,1024,21.9843
act_fn,1040,22.2293
act_fn,1056,22.5807
act_fn,1072,22.795
act_fn,1088,23.1573
act_fn,1104,23.3383
act_fn,1120,24.224
act_fn,1136,24.5973
act_fn,1152,24.96
act_fn,1168,25.1833
act_fn,1184,25.1307
act_fn,1200,25.248
act_fn,1216,25.4827
act_fn,1232,25.6533
act_fn,1248,25.824
act_fn,1264,27.0617
act_fn,1280,27.402
act_fn,1296,27.5833
act_fn,1312,27.8933
act_fn,1328,28.1493
act_fn,1344,28.3307
act_fn,1360,28.2347
act_fn,1376,28.619
act_fn,1392,28.629
act_fn,1408,29.579
act_fn,1424,29.9947
act_fn,1440,30.5067
act_fn,1456,30.805
act_fn,1472,30.9327
act_fn,1488,31.2533
act_fn,1504,31.1893
act_fn,1520,31.5413
act_fn,1536,31.7017
act_fn,1552,32.192
act_fn,1568,32.9387
act_fn,1584,33.5143
act_fn,1600,33.8457
act_fn,1616,33.9623
act_fn,1632,34.1117
act_fn,1648,34.528
act_fn,1664,34.688
act_fn,1680,34.848
act_fn,1696,35.0187
act_fn,1712,35.787
act_fn,1728,35.925
act_fn,1744,36.768
act_fn,1760,36.843
act_fn,1776,37.088
act_fn,1792,37.397
act_fn,1808,37.5357
act_fn,1824,37.5463
act_fn,1840,37.8883
act_fn,1856,38.23
act_fn,1872,38.795
act_fn,1888,39.0507
act_fn,1904,39.5093
act_fn,1920,39.7443
act_fn,1936,39.9783
act_fn,1952,40.3947
act_fn,1968,40.4803
act_fn,1984,40.608
act_fn,2000,40.939
act_fn,2016,41.5147
act_fn,2032,41.792
act_fn,2048,42.454
down_proj,1,70.9753
down_proj,2,71.1143
down_proj,3,71.285
down_proj,4,72.064
down_proj,5,72
down_proj,6,71.755
down_proj,7,72.64
down_proj,8,73.3227
down_proj,9,76.8213
down_proj,10,76.4267
down_proj,11,76.3413
down_proj,12,76.7467
down_proj,13,76.885
down_proj,14,76.779
down_proj,15,78.474
down_proj,16,77.0983
down_proj,20,68.1067
down_proj,24,68.9067
down_proj,28,66.8373
down_proj,32,67.093
down_proj,36,67.1573
down_proj,40,67.6587
down_proj,44,69.557
down_proj,48,69.0987
down_proj,52,69.8877
down_proj,56,69.6
down_proj,60,69.76
down_proj,64,70.282
down_proj,80,70.8367
down_proj,96,77.365
down_proj,112,74.2507
down_proj,128,72.1273
down_proj,144,77.792
down_proj,160,84.5867
down_proj,176,84.4157
down_proj,192,85.8667
down_proj,208,87.349
down_proj,224,87.0827
down_proj,240,88.7783
down_proj,256,89.0343
down_proj,272,91.4237
down_proj,288,93.3227
down_proj,304,92.928
down_proj,320,107.349
down_proj,336,104.331
down_proj,352,107.466
down_proj,368,106.816
down_proj,384,107.157
down_proj,400,111.04
down_proj,416,116.064
down_proj,432,116.085
down_proj,448,129.237
down_proj,464,122.272
down_proj,480,128.64
down_proj,496,128.202
down_proj,512,128.245
down_proj,528,149.237
down_proj,544,144.671
down_proj,560,148.789
down_proj,576,148.373
down_proj,592,161.439
down_proj,608,161.387
down_proj,624,161.247
down_proj,640,193.162
down_proj,656,181.119
down_proj,672,168.128
down_proj,688,180.49
down_proj,704,190.539
down_proj,720,190.943
down_proj,736,190.272
down_proj,752,190.176
down_proj,768,190.282
down_proj,784,202.709
down_proj,800,217.034
down_proj,816,202.111
down_proj,832,244.309
down_proj,848,215.968
down_proj,864,215.668
down_proj,880,215.605
down_proj,896,245.205
down_proj,912,229.941
down_proj,928,244.821
down_proj,944,229.813
down_proj,960,244.511
down_proj,976,244.331
down_proj,992,244.341
down_proj,1008,243.797
down_proj,1024,243.658
down_proj,1040,259.807
down_proj,1056,277.141
down_proj,1072,276.437
down_proj,1088,277.098
down_proj,1104,276.234
down_proj,1120,276.884
down_proj,1136,276.213
down_proj,1152,276.244
down_proj,1168,261.003
down_proj,1184,274.699
down_proj,1200,260.481
down_proj,1216,274.987
down_proj,1232,295.627
down_proj,1248,273.451
down_proj,1264,273.708
down_proj,1280,273.632
down_proj,1296,316.95
down_proj,1312,316.96
down_proj,1328,316.598
down_proj,1344,361.568
down_proj,1360,340.064
down_proj,1376,319.2
down_proj,1392,339.722
down_proj,1408,361.503
down_proj,1424,339.103
down_proj,1440,318.71
down_proj,1456,362.07
down_proj,1472,361.567
down_proj,1488,361.183
down_proj,1504,360.97
down_proj,1520,361.024
down_proj,1536,360.875
down_proj,1552,352.851
down_proj,1568,353.546
down_proj,1584,352.628
down_proj,1600,374.379
down_proj,1616,391.893
down_proj,1632,418.858
down_proj,1648,391.638
down_proj,1664,374.091
down_proj,1680,419.713
down_proj,1696,418.739
down_proj,1712,418.612
down_proj,1728,374.251
down_proj,1744,418.794
down_proj,1760,418.837
down_proj,1776,418.442
down_proj,1792,449.503
down_proj,1808,449.321
down_proj,1824,449.962
down_proj,1840,448.523
down_proj,1856,449.952
down_proj,1872,448.564
down_proj,1888,448.854
down_proj,1904,448.394
down_proj,1920,447.776
down_proj,1936,478.036
down_proj,1952,477.63
down_proj,1968,477.825
down_proj,1984,477.333
down_proj,2000,477.685
down_proj,2016,477.258
down_proj,2032,477.13
down_proj,2048,477.291
embedding,1,4.46933
embedding,2,4.82133
embedding,3,5.03467
embedding,4,5.22667
embedding,5,5.78133
embedding,6,6.00567
embedding,7,6.42067
embedding,8,6.45333
embedding,9,6.976
embedding,10,7.168
embedding,11,7.70133
embedding,12,7.573
embedding,13,8.277
embedding,14,8.38333
embedding,15,8.8
embedding,16,8.8
embedding,20,4.36267
embedding,24,4.37333
embedding,28,4.18133
embedding,32,4.107
embedding,36,4.20267
embedding,40,4.11733
embedding,44,4.07367
embedding,48,4.075
embedding,52,4.13833
embedding,56,4.12833
embedding,60,4.24533
embedding,64,4.106
embedding,80,4.27733
embedding,96,4.32
embedding,112,4.40533
embedding,128,4.52267
embedding,144,5.39767
embedding,160,5.344
embedding,176,5.611
embedding,192,5.589
embedding,208,5.79233
embedding,224,5.69567
embedding,240,6.123
embedding,256,6.069
embedding,272,7.04
embedding,288,6.77333
embedding,304,6.98633
embedding,320,7.08233
embedding,336,7.29533
embedding,352,7.2
embedding,368,7.552
embedding,384,7.40333
embedding,400,8.352
embedding,416,8.128
embedding,432,8.34133
embedding,448,8.46933
embedding,464,8.661
embedding,480,8.671
embedding,496,8.83167
embedding,512,8.90667
embedding,528,8.96033
embedding,544,9.344
embedding,560,9.387
embedding,576,9.61067
embedding,592,9.97333
embedding,608,9.89867
embedding,624,9.91933
embedding,640,10.027
embedding,656,10.112
embedding,672,10.0587
embedding,688,10.2933
embedding,704,10.2187
embedding,720,10.4
embedding,736,10.3043
embedding,752,10.6247
