layer,sequences,time_us
lm_head,1,182.293
lm_head,2,183.253
lm_head,3,184.33
lm_head,4,183.797
lm_head,5,184.362
lm_head,6,186.56
lm_head,7,187.658
lm_head,8,186.666
lm_head,9,188.82
lm_head,10,172.779
lm_head,11,173.419
lm_head,12,164.661
lm_head,13,165.547
lm_head,14,166.24
lm_head,15,167.115
lm_head,16,165.141
lm_head,20,167.563
lm_head,24,166.176
lm_head,28,168.693
lm_head,32,167.488
lm_head,36,167.796
lm_head,40,167.669
lm_head,44,168.853
lm_head,48,169.695
lm_head,52,170.293
lm_head,56,170.592
lm_head,60,172.512
lm_head,64,171.179
lm_head,80,170.304
lm_head,96,192.97
lm_head,112,190.421
lm_head,128,190.57
lm_head,144,170.538
lm_head,160,174.251
lm_head,176,195.147
lm_head,192,197.984
lm_head,208,243.818
lm_head,224,204.778
lm_head,240,249.013
lm_head,256,249.408
sampler,1,34.934
sampler,2,34.6023
sampler,3,34.752
sampler,4,34.752
sampler,5,34.88
sampler,6,35.851
sampler,7,36.3413
sampler,8,36.1383
sampler,9,36.651
sampler,10,37.9303
sampler,11,40.2347
sampler,12,40.149
sampler,13,40.5333
sampler,14,40.8633
sampler,15,41.2373
sampler,16,40.7787
sampler,20,42.2287
sampler,24,43.797
sampler,28,44.192
sampler,32,46.069
sampler,36,45.9627
sampler,40,47.8823
sampler,44,48.5653
sampler,48,50.2507
sampler,52,51.3803
sampler,56,52.4053
sampler,60,53.504
sampler,64,55.072
sampler,80,59.9247
sampler,96,67.1037
sampler,112,78.634
sampler,128,88.6073
sampler,144,94.8363
sampler,160,102.048
sampler,176,109.163
sampler,192,115.583
sampler,208,121.781
sampler,224,127.904
sampler,240,133.824
sampler,256,140.288
