layer,tokens,time_us
embedding,1,4.161
embedding,2,5.024
embedding,3,4.672
embedding,4,5.568
embedding,5,5.376
embedding,6,6.208
embedding,7,5.888
embedding,8,6.912
embedding,9,6.464
embedding,10,7.36
embedding,11,7.04
embedding,12,7.872
embedding,13,7.808
embedding,14,8.799
embedding,15,8.191
embedding,16,9.057
final_layernorm,1,3.232
final_layernorm,2,3.168
final_layernorm,3,3.2
final_layernorm,4,3.456
final_layernorm,5,3.105
final_layernorm,6,3.2
final_layernorm,7,3.36
final_layernorm,8,3.168
final_layernorm,9,3.008
final_layernorm,10,3.167
final_layernorm,11,3.423
final_layernorm,12,3.36
final_layernorm,13,3.488
final_layernorm,14,3.36
final_layernorm,15,3.52
final_layernorm,16,3.456
layernorm,1,3.04
layernorm,2,2.8795
layernorm,3,2.896
layernorm,4,2.9595
layernorm,5,3.024
layernorm,6,2.896
layernorm,7,3.0725
layernorm,8,2.912
layernorm,9,2.928
layernorm,10,3.232
layernorm,11,3.2645
layernorm,12,3.2965
layernorm,13,3.2005
layernorm,14,3.328
layernorm,15,3.232
layernorm,16,3.3595
o_proj,1,19.232
o_proj,2,18.368
o_proj,3,18.207
o_proj,4,19.04
o_proj,5,18.496
o_proj,6,18.272
o_proj,7,18.304
o_proj,8,18.016
o_proj,9,19.839
o_proj,10,19.2
o_proj,11,19.712
o_proj,12,19.552
o_proj,13,19.168
o_proj,14,19.744
o_proj,15,19.263
o_proj,16,18.912
qk_norm,1,2.624
qk_norm,2,2.816
qk_norm,3,2.9125
qk_norm,4,2.816
qk_norm,5,2.8645
qk_norm,6,2.928
qk_norm,7,2.928
qk_norm,8,2.912
qk_norm,9,3.0075
qk_norm,10,2.912
qk_norm,11,3.1045
qk_norm,12,2.96
qk_norm,13,3.04
qk_norm,14,2.992
qk_norm,15,3.072
qk_norm,16,3.008
qkv_proj,1,14.848
qkv_proj,2,15.264
qkv_proj,3,14.944
qkv_proj,4,15.199
qkv_proj,5,14.24
qkv_proj,6,14.208
qkv_proj,7,14.88
qkv_proj,8,14.24
qkv_proj,9,14.336
qkv_proj,10,14.111
qkv_proj,11,14.592
qkv_proj,12,14.112
qkv_proj,13,14.24
qkv_proj,14,14.432
qkv_proj,15,14.4
qkv_proj,16,14.048
rotary_emb,1,4.704
rotary_emb,2,4.928
rotary_emb,3,4.736
rotary_emb,4,4.96
rotary_emb,5,4.896
rotary_emb,6,4.992
rotary_emb,7,4.897
rotary_emb,8,5.504
rotary_emb,9,5.088
rotary_emb,10,5.184
rotary_emb,11,5.248
rotary_emb,12,5.312
rotary_emb,13,5.313
rotary_emb,14,5.537
rotary_emb,15,5.44
rotary_emb,16,5.504
