layer,sequences,time_us
lm_head,1,198.304
lm_head,2,199.424
lm_head,3,205.514
lm_head,4,205.77
lm_head,5,208.767
lm_head,6,206.432
lm_head,7,207.424
lm_head,8,207.594
lm_head,9,208.511
lm_head,10,210.485
lm_head,11,208.757
lm_head,12,210.016
lm_head,13,208.864
lm_head,14,210.037
lm_head,15,209.535
lm_head,16,210.08
lm_head,20,213.6
lm_head,24,211.648
lm_head,28,212.906
lm_head,32,214.463
lm_head,36,209.472
lm_head,40,208.095
lm_head,44,209.856
lm_head,48,210.229
lm_head,52,211.327
lm_head,56,212.074
lm_head,60,211.381
lm_head,64,211.915
lm_head,80,213.664
lm_head,96,210.944
lm_head,112,219.211
lm_head,128,221.024
lm_head,144,245.205
lm_head,160,226.208
lm_head,176,230.251
lm_head,192,245.237
lm_head,208,245.6
lm_head,224,245.621
lm_head,240,246.122
lm_head,256,247.754
sampler,1,15.4453
sampler,2,15.6683
sampler,3,17.0553
sampler,4,17.4077
sampler,5,17.2047
sampler,6,17.5357
sampler,7,17.4827
sampler,8,18.2187
sampler,9,19.6687
sampler,10,20.16
sampler,11,20.4907
sampler,12,20.779
sampler,13,20.9377
sampler,14,21.0453
sampler,15,21.545
sampler,16,22.5707
sampler,20,25.0347
sampler,24,28.1067
sampler,28,29.877
sampler,32,32.576
sampler,36,34.24
sampler,40,36.9497
sampler,44,38.6333
sampler,48,39.7977
sampler,52,42.2197
sampler,56,44.065
sampler,60,46.6773
sampler,64,47.637
sampler,80,55.7333
sampler,96,65.099
sampler,112,74.3893
sampler,128,83.3393
sampler,144,93.834
sampler,160,101.93
sampler,176,113.472
sampler,192,124.352
sampler,208,132.629
sampler,224,141.301
sampler,240,152.331
sampler,256,163.211
