pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1051,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0119,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.2018,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0073,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0667,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0199,4
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0872,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0073,1
0,n<=128,sr>70%,kvB<=1k,kp=0,0.2683,2
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0869,2
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.577,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.4059,3
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.6764,2
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.3433,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.6202,1
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.2281,1
0,n<=16,sr>70%,kvB<=1k,kp=0,0.8108,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.1443,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,1.0562,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.6056,1
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.1265,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0036,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.2873,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.0037,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0131,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0021,4
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.2695,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0044,1
0,n<=256,sr>70%,kvB<=1k,kp=0,0.3678,2
0,n<=256,sr>70%,kvB<=4k,kp=0,0.1059,2
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.1109,2
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0971,2
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.18,2
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.075,5
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0136,2
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0183,2
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0045,2
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0186,3
