prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.616
0,0,1,64,7.872
0,0,1,256,8.75733
0,0,1,1024,10.101
0,0,1,4096,10.219
0,0,1,16384,16.4697
0,0,2,16,7.73367
0,0,2,64,7.99967
0,0,2,256,8.928
0,0,2,1024,10.3683
0,0,2,4096,10.8377
0,0,2,16384,18.688
0,0,4,16,8.416
0,0,4,64,8.21333
0,0,4,256,9.504
0,0,4,1024,10.496
0,0,4,4096,11.8187
0,0,4,16384,22.4427
0,0,8,16,8.533
0,0,8,64,8.459
0,0,8,256,9.62167
0,0,8,1024,10.581
0,0,8,4096,16.5973
0,0,8,16384,30.8163
0,0,16,16,8.70433
0,0,16,64,8.81067
0,0,16,256,9.90933
0,0,16,1024,11.851
0,0,16,4096,20.1493
0,0,16,16384,48.5223
0,0,32,16,8.864
0,0,32,64,9.13067
0,0,32,256,10.4747
0,0,32,1024,15.3387
0,0,32,4096,30.9013
0,0,32,16384,86.1973
0,0,64,16,10.0483
0,0,64,64,10.144
0,0,64,256,12.7043
0,0,64,1024,22.016
0,0,64,4096,51.392
0,0,64,16384,161.333
0,0,128,16,13.728
0,0,128,64,13.1627
0,0,128,256,18.3043
0,0,128,1024,35.4767
0,0,128,4096,92.203
0,0,128,16384,312.426
0,0,256,16,19.573
0,0,256,64,18.9117
0,0,256,256,25.7813
0,0,256,1024,58.251
0,0,256,4096,169.685
0,0,256,16384,610.58
16,0,0,0,9.77067
16,0,1,16,15.0933
16,0,1,64,15.3487
16,0,1,256,16.224
16,0,1,1024,17.3017
16,0,1,4096,17.7497
16,0,1,16384,23.84
16,0,2,16,15.2213
16,0,2,64,15.5203
16,0,2,256,16.4583
16,0,2,1024,17.835
16,0,2,4096,18.357
16,0,2,16384,26.283
16,0,4,16,15.7337
16,0,4,64,15.6793
16,0,4,256,17.0027
16,0,4,1024,17.941
16,0,4,4096,18.976
16,0,4,16384,29.771
16,0,8,16,15.7117
16,0,8,64,15.658
16,0,8,256,17.1307
16,0,8,1024,17.941
16,0,8,4096,23.883
16,0,8,16384,38.0583
16,0,16,16,15.8187
16,0,16,64,15.659
16,0,16,256,17.141
16,0,16,1024,18.9113
16,0,16,4096,27.178
16,0,16,16384,55.893
16,0,32,16,15.915
16,0,32,64,16.2557
16,0,32,256,17.5467
16,0,32,1024,22.7407
16,0,32,4096,38.1333
16,0,32,16384,93.334
16,0,64,16,16.821
16,0,64,64,17.1943
16,0,64,256,19.594
16,0,64,1024,29.248
16,0,64,4096,58.485
16,0,64,16384,167.615
16,0,128,16,20.4377
16,0,128,64,20.2127
16,0,128,256,25.461
16,0,128,1024,42.5283
16,0,128,4096,99.8073
16,0,128,16384,318.87
16,16,0,0,9.89867
16,16,1,16,15.1253
16,16,1,64,15.6793
16,16,1,256,16.4373
16,16,1,1024,17.3337
16,16,1,4096,17.8983
16,16,1,16384,23.9683
16,16,2,16,15.36
16,16,2,64,15.5307
16,16,2,256,16.5117
16,16,2,1024,17.9097
16,16,2,4096,18.496
16,16,2,16384,26.87
16,16,4,16,15.84
16,16,4,64,15.8293
16,16,4,256,17.0773
16,16,4,1024,17.9413
16,16,4,4096,19.0617
16,16,4,16384,29.7497
16,16,8,16,15.6693
16,16,8,64,15.808
16,16,8,256,17.0237
16,16,8,1024,17.867
16,16,8,4096,23.6483
16,16,8,16384,38.7737
16,16,16,16,15.68
16,16,16,64,15.8933
16,16,16,256,17.227
16,16,16,1024,19.082
16,16,16,4096,27.3387
16,16,16,16384,55.6483
16,16,32,16,16.0107
16,16,32,64,16.128
16,16,32,256,17.6103
16,16,32,1024,22.5173
16,16,32,4096,37.7917
16,16,32,16384,93.4397
16,16,64,16,17.131
16,16,64,64,17.1843
16,16,64,256,19.4457
16,16,64,1024,29.5037
16,16,64,4096,58.5703
16,16,64,16384,168.01
16,16,128,16,20.64
16,16,128,64,20.3413
16,16,128,256,25.1097
16,16,128,1024,42.816
16,16,128,4096,98.943
16,16,128,16384,325.93
16,64,0,0,9.76
16,64,1,16,15.0613
16,64,1,64,15.1357
16,64,1,256,16.256
16,64,1,1024,17.3973
16,64,1,4096,17.717
16,64,1,16384,23.904
16,64,2,16,15.4133
16,64,2,64,15.4667
16,64,2,256,16.3947
16,64,2,1024,17.8027
16,64,2,4096,18.453
16,64,2,16384,26.3363
16,64,4,16,15.733
16,64,4,64,15.6373
16,64,4,256,16.938
16,64,4,1024,17.9413
16,64,4,4096,19.0297
16,64,4,16384,29.9093
16,64,8,16,15.5837
16,64,8,64,15.7757
16,64,8,256,16.9177
16,64,8,1024,17.803
16,64,8,4096,23.616
16,64,8,16384,38.2713
16,64,16,16,15.7117
16,64,16,64,15.7543
16,64,16,256,17.0347
16,64,16,1024,18.986
16,64,16,4096,27.0507
16,64,16,16384,56.4587
16,64,32,16,15.9467
16,64,32,64,16.15
16,64,32,256,17.6213
16,64,32,1024,22.528
16,64,32,4096,37.7707
16,64,32,16384,94.1123
16,64,64,16,16.8967
16,64,64,64,17.1307
16,64,64,256,19.4347
16,64,64,1024,29.3013
16,64,64,4096,59.3713
16,64,64,16384,168.352
16,64,128,16,20.661
16,64,128,64,20.1813
16,64,128,256,25.536
16,64,128,1024,42.8487
16,64,128,4096,99.1787
16,64,128,16384,322.303
16,256,0,0,12.6293
16,256,1,16,18.005
16,256,1,64,18.1657
16,256,1,256,19.157
16,256,1,1024,20.3943
16,256,1,4096,20.6507
16,256,1,16384,26.763
16,256,2,16,18.1757
16,256,2,64,18.3037
16,256,2,256,19.328
16,256,2,1024,20.5227
16,256,2,4096,21.2693
16,256,2,16384,29.131
16,256,4,16,18.613
16,256,4,64,18.6983
16,256,4,256,19.8507
16,256,4,1024,20.9173
16,256,4,4096,21.8027
16,256,4,16384,32.9063
16,256,8,16,18.6023
16,256,8,64,18.6453
16,256,8,256,19.8723
16,256,8,1024,20.725
16,256,8,4096,26.667
16,256,8,16384,41.184
16,256,16,16,18.5817
16,256,16,64,18.699
16,256,16,256,19.9783
16,256,16,1024,21.8453
16,256,16,4096,30.39
16,256,16,16384,58.9657
16,256,32,16,18.8483
16,256,32,64,19.0833
16,256,32,256,20.48
16,256,32,1024,25.2687
16,256,32,4096,40.832
16,256,32,16384,96.885
16,256,64,16,19.7653
16,256,64,64,19.8823
16,256,64,256,22.71
16,256,64,1024,31.8827
16,256,64,4096,61.3223
16,256,64,16384,171.168
16,256,128,16,23.6583
16,256,128,64,23.0297
16,256,128,256,28.1813
16,256,128,1024,45.3653
16,256,128,4096,102.965
16,256,128,16384,322.442
16,1024,0,0,21.589
16,1024,1,16,27.8827
16,1024,1,64,28.139
16,1024,1,256,27.605
16,1024,1,1024,29.2483
16,1024,1,4096,29.568
16,1024,1,16384,35.562
16,1024,2,16,28.458
16,1024,2,64,28.7463
16,1024,2,256,28.1067
16,1024,2,1024,29.5463
16,1024,2,4096,30.08
16,1024,2,16384,37.9413
16,1024,4,16,28.8103
16,1024,4,64,28.7677
16,1024,4,256,28.4477
16,1024,4,1024,29.835
16,1024,4,4096,30.7847
16,1024,4,16384,41.3327
16,1024,8,16,28.5437
16,1024,8,64,28.672
16,1024,8,256,28.3943
16,1024,8,1024,29.685
16,1024,8,4096,35.328
16,1024,8,16384,50.0907
16,1024,16,16,29.227
16,1024,16,64,29.2263
16,1024,16,256,28.832
16,1024,16,1024,30.8163
16,1024,16,4096,39.1357
16,1024,16,16384,67.6373
16,1024,32,16,29.7387
16,1024,32,64,29.813
16,1024,32,256,29.6533
16,1024,32,1024,34.5387
16,1024,32,4096,49.4397
16,1024,32,16384,105.791
16,1024,64,16,28.8847
16,1024,64,64,28.8
16,1024,64,256,31.7223
16,1024,64,1024,41.1947
16,1024,64,4096,70.4637
16,1024,64,16384,179.626
16,1024,128,16,32.789
16,1024,128,64,32.245
16,1024,128,256,37.312
16,1024,128,1024,54.2183
16,1024,128,4096,110.997
16,1024,128,16384,332.096
16,4096,0,0,57.5893
16,4096,1,16,64.0533
16,4096,1,64,64.2137
16,4096,1,256,64.0647
16,4096,1,1024,63.9577
16,4096,1,4096,65.579
16,4096,1,16384,71.7447
16,4096,2,16,64.352
16,4096,2,64,64.4373
16,4096,2,256,64.1387
16,4096,2,1024,64.6497
16,4096,2,4096,65.9193
16,4096,2,16384,74.2713
16,4096,4,16,64.6293
16,4096,4,64,64.8107
16,4096,4,256,64.4907
16,4096,4,1024,64.8643
16,4096,4,4096,66.933
16,4096,4,16384,77.3437
16,4096,8,16,65.9307
16,4096,8,64,65.994
16,4096,8,256,66.026
16,4096,8,1024,67.2427
16,4096,8,4096,71.349
16,4096,8,16384,86.0373
16,4096,16,16,65.4503
16,4096,16,64,65.5037
16,4096,16,256,65.2907
16,4096,16,1024,67.1997
16,4096,16,4096,75.0827
16,4096,16,16384,104.459
16,4096,32,16,65.76
16,4096,32,64,65.7273
16,4096,32,256,65.5577
16,4096,32,1024,70.603
16,4096,32,4096,85.5897
16,4096,32,16384,141.418
16,4096,64,16,64.7147
16,4096,64,64,64.9703
16,4096,64,256,67.648
16,4096,64,1024,76.7677
16,4096,64,4096,106.56
16,4096,64,16384,215.999
16,4096,128,16,68.8213
16,4096,128,64,68.2027
16,4096,128,256,73.6957
16,4096,128,1024,90.581
16,4096,128,4096,147.018
16,4096,128,16384,366.985
16,16384,0,0,199.851
16,16384,1,16,216.448
16,16384,1,64,213.535
16,16384,1,256,215.861
16,16384,1,1024,214.463
16,16384,1,4096,216.362
16,16384,1,16384,220.575
16,16384,2,16,214.72
16,16384,2,64,214.538
16,16384,2,256,214.592
16,16384,2,1024,215.018
16,16384,2,4096,216.373
16,16384,2,16384,222.656
16,16384,4,16,214.997
16,16384,4,64,215.252
16,16384,4,256,214.176
16,16384,4,1024,214.879
16,16384,4,4096,217.248
16,16384,4,16384,224.714
16,16384,8,16,214.836
16,16384,8,64,214.772
16,16384,8,256,213.781
16,16384,8,1024,214.666
16,16384,8,4096,219.551
16,16384,8,16384,232.255
16,16384,16,16,214.516
16,16384,16,64,214.228
16,16384,16,256,213.984
16,16384,16,1024,216.832
16,16384,16,4096,222.964
16,16384,16,16384,249.717
16,16384,32,16,215.039
16,16384,32,64,214.847
16,16384,32,256,215.328
16,16384,32,1024,220.501
16,16384,32,4096,233.343
16,16384,32,16384,287.381
16,16384,64,16,213.823
16,16384,64,64,214.111
16,16384,64,256,217.131
16,16384,64,1024,225.407
16,16384,64,4096,253.6
