tokens,activated_experts,time_us
1,8,80.1383
2,8,80.8857
2,16,126.922
4,8,81.473
4,16,128.373
4,32,216.063
8,8,81.5453
8,16,128.032
8,32,216.553
8,64,383.966
16,8,86.5703
16,16,130.848
16,32,217.397
16,64,382.646
16,128,719.583
32,8,108.544
32,16,132.929
32,32,221.866
32,64,388.991
32,128,726.142
64,8,127.925
64,16,153.44
64,32,237.248
64,64,419.168
64,128,768.596
128,8,129.164
128,16,156.66
128,32,249.247
128,64,435.167
128,128,793.588
256,8,183.754
256,16,199.893
256,32,263.775
256,64,445.568
256,128,799.37
512,8,295.487
512,16,311.818
512,32,351.264
512,64,472.031
512,128,820.948
1024,8,418.218
1024,16,441.845
1024,32,484.661
1024,64,577.076
1024,128,980.821
2048,8,737.386
2048,16,761.962
2048,32,806.26
2048,64,883.829
2048,128,1059.42
