regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,26.817,30.08,29.088,0.696
pure,2,1,0.5,4.0,0,0,1024,4096,2560,32.0,32.703,32.865,1.2304
mixed,2,1,0.5,4.0,16,0,128,512,320,49.248,52.097,51.487,0.7859
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,53.601,55.104,55.072,0.9787
mixed,2,1,0.5,4.0,16,512,128,512,320,65.505,69.408,68.673,0.8117
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,70.911,72.416,71.936,0.6811
mixed,2,1,0.5,4.0,16,4096,128,512,320,191.616,191.294,192.831,
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,196.705,196.673,196.383,
mixed,2,1,0.5,4.0,16,8192,128,512,320,349.982,355.871,350.624,0.109
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,348.319,353.023,349.823,0.3197
mixed,2,1,0.5,4.0,128,0,128,512,320,52.129,54.88,54.497,0.8608
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,56.095,57.665,57.248,0.7344
mixed,2,1,0.5,4.0,128,512,128,512,320,68.32,72.384,71.679,0.8265
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,73.472,74.691,74.495,0.8392
mixed,2,1,0.5,4.0,128,4096,128,512,320,193.791,195.36,194.177,0.246
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,199.777,200.065,198.879,-3.1181
mixed,2,1,0.5,4.0,128,8192,128,512,320,346.081,347.199,346.462,0.3408
mixed,2,1,0.5,4.0,128,8192,1024,4096,2560,362.847,359.394,359.202,
mixed,2,1,0.5,4.0,1024,0,128,512,320,98.784,102.207,102.464,1.0751
mixed,2,1,0.5,4.0,1024,0,1024,4096,2560,104.418,106.592,105.247,0.3813
mixed,2,1,0.5,4.0,1024,512,128,512,320,119.329,120.193,119.711,0.4421
