layer,tokens,time_us
embedding,1,4.56533
embedding,2,4.82167
embedding,3,5.01367
embedding,4,5.184
embedding,5,5.888
embedding,6,5.99467
embedding,7,6.325
embedding,8,6.272
embedding,9,6.70933
embedding,10,7.296
embedding,11,7.18933
embedding,12,7.62567
embedding,13,7.90367
embedding,14,8.56633
embedding,15,8.34133
embedding,16,8.56567
embedding,20,4.256
embedding,24,3.88267
embedding,28,4.31967
embedding,32,3.91467
embedding,36,3.98933
embedding,40,4.021
embedding,44,3.81867
embedding,48,4.08467
embedding,52,3.99967
embedding,56,3.968
embedding,60,3.86133
embedding,64,3.936
embedding,80,4.20267
embedding,96,3.82933
embedding,112,4.24533
embedding,128,3.82933
embedding,144,4.87533
embedding,160,4.32
embedding,176,4.78933
embedding,192,4.416
embedding,208,4.78933
embedding,224,4.384
embedding,240,4.8
embedding,256,4.82133
embedding,272,5.237
embedding,288,4.89633
embedding,304,5.291
embedding,320,5.41867
embedding,336,5.25867
embedding,352,4.97067
embedding,368,5.50433
embedding,384,5.13067
embedding,400,6.048
embedding,416,5.90933
embedding,432,5.63233
embedding,448,5.64267
embedding,464,5.952
embedding,480,6.02667
embedding,496,6.01533
embedding,512,6.02667
embedding,528,6.08
embedding,544,5.86667
embedding,560,5.80267
embedding,576,6.208
embedding,592,6.251
embedding,608,6.03767
embedding,624,6.19733
embedding,640,6.26167
embedding,656,6.15467
embedding,672,6.304
embedding,688,6.67767
embedding,704,6.63467
embedding,720,6.33633
embedding,736,6.304
embedding,752,6.63433
embedding,768,6.85867
embedding,784,6.42133
embedding,800,6.44267
embedding,816,6.528
embedding,832,6.53867
embedding,848,6.51733
embedding,864,6.656
embedding,880,6.51733
embedding,896,6.51733
embedding,912,6.64567
embedding,928,6.624
embedding,944,6.976
embedding,960,7.10433
embedding,976,6.80533
embedding,992,6.688
embedding,1008,7.06133
embedding,1024,7.14667
embedding,1040,6.88033
embedding,1056,6.81567
embedding,1072,7.22133
embedding,1088,7.296
embedding,1104,7.19
embedding,1120,7.05033
embedding,1136,7.48833
embedding,1152,7.46667
embedding,1168,7.104
embedding,1184,7.14667
embedding,1200,7.18933
embedding,1216,7.328
embedding,1232,7.264
embedding,1248,7.328
embedding,1264,7.29633
embedding,1280,7.286
embedding,1296,7.232
embedding,1312,7.38167
embedding,1328,7.44567
embedding,1344,7.456
embedding,1360,7.552
embedding,1376,7.57333
embedding,1392,7.531
embedding,1408,7.60567
embedding,1424,7.60533
embedding,1440,7.92567
embedding,1456,7.98933
embedding,1472,7.69067
embedding,1488,7.74333
embedding,1504,7.936
embedding,1520,8.16
embedding,1536,7.76533
embedding,1552,7.776
embedding,1568,7.80767
embedding,1584,7.79767
embedding,1600,7.95733
embedding,1616,7.87167
embedding,1632,7.98933
embedding,1648,7.882
embedding,1664,7.98933
embedding,1680,8.20267
embedding,1696,7.92533
embedding,1712,7.999
embedding,1728,8.00033
embedding,1744,8.01067
embedding,1760,8.04267
embedding,1776,8.08533
embedding,1792,8.22367
embedding,1808,8.181
embedding,1824,8.18133
embedding,1840,8.26667
embedding,1856,8.26567
embedding,1872,8.34133
embedding,1888,8.28733
embedding,1904,8.30933
embedding,1920,8.47967
embedding,1936,8.512
embedding,1952,8.523
embedding,1968,8.437
embedding,1984,8.52267
embedding,2000,8.597
embedding,2016,8.56533
embedding,2032,8.64067
embedding,2048,8.704
final_layernorm,1,3.34933
final_layernorm,2,3.08267
final_layernorm,3,3.12567
final_layernorm,4,3.17867
final_layernorm,5,3.11467
final_layernorm,6,3.10367
final_layernorm,7,3.15733
final_layernorm,8,3.11467
final_layernorm,9,3.13633
final_layernorm,10,3.21067
final_layernorm,11,3.50933
final_layernorm,12,3.50933
final_layernorm,13,3.488
final_layernorm,14,3.46667
final_layernorm,15,3.552
final_layernorm,16,3.47733
final_layernorm,20,3.43467
final_layernorm,24,3.43467
final_layernorm,28,3.42433
final_layernorm,32,3.54133
final_layernorm,36,3.46667
final_layernorm,40,3.47767
final_layernorm,44,3.47733
final_layernorm,48,3.54133
final_layernorm,52,3.46667
final_layernorm,56,3.43467
final_layernorm,60,3.50967
final_layernorm,64,3.47733
final_layernorm,80,3.62667
final_layernorm,96,3.57333
final_layernorm,112,3.61567
final_layernorm,128,3.57267
final_layernorm,144,3.66867
final_layernorm,160,4.07467
final_layernorm,176,4.14967
final_layernorm,192,4.14933
final_layernorm,208,4.17067
final_layernorm,224,4.16
final_layernorm,240,4.277
final_layernorm,256,4.672
final_layernorm,272,4.49067
final_layernorm,288,4.64
final_layernorm,304,4.736
final_layernorm,320,4.97033
final_layernorm,336,4.928
final_layernorm,352,4.92767
final_layernorm,368,5.18367
final_layernorm,384,4.992
final_layernorm,400,5.25833
final_layernorm,416,5.16267
final_layernorm,432,5.056
final_layernorm,448,5.408
final_layernorm,464,5.61067
final_layernorm,480,5.707
final_layernorm,496,5.71767
final_layernorm,512,5.70633
final_layernorm,528,5.856
final_layernorm,544,5.6
final_layernorm,560,5.728
final_layernorm,576,5.856
final_layernorm,592,5.824
final_layernorm,608,6.13333
final_layernorm,624,6.08
final_layernorm,640,6.19733
final_layernorm,656,6.19733
final_layernorm,672,6.32533
final_layernorm,688,6.432
final_layernorm,704,6.52833
final_layernorm,720,6.37867
final_layernorm,736,6.38933
final_layernorm,752,6.70933
final_layernorm,768,6.912
final_layernorm,784,6.83667
final_layernorm,800,6.97667
final_layernorm,816,6.82667
final_layernorm,832,6.95467
final_layernorm,848,6.94367
final_layernorm,864,7.07233
final_layernorm,880,6.95467
final_layernorm,896,7.36
final_layernorm,912,7.499
final_layernorm,928,7.62667
final_layernorm,944,7.75467
final_layernorm,960,7.712
final_layernorm,976,7.85067
final_layernorm,992,7.78667
final_layernorm,1008,7.79733
final_layernorm,1024,7.968
final_layernorm,1040,7.947
final_layernorm,1056,8.03233
final_layernorm,1072,8.14933
final_layernorm,1088,8.56533
final_layernorm,1104,8.39467
final_layernorm,1120,8.46933
final_layernorm,1136,8.56567
final_layernorm,1152,8.51167
final_layernorm,1168,8.46933
final_layernorm,1184,8.39467
final_layernorm,1200,9.94133
final_layernorm,1216,10.016
final_layernorm,1232,9.94133
final_layernorm,1248,10.2293
final_layernorm,1264,10.2183
final_layernorm,1280,10.144
final_layernorm,1296,10.496
final_layernorm,1312,10.3787
final_layernorm,1328,10.4643
final_layernorm,1344,10.5063
final_layernorm,1360,10.4423
final_layernorm,1376,10.4107
final_layernorm,1392,10.528
final_layernorm,1408,10.4637
final_layernorm,1424,10.6343
final_layernorm,1440,10.6773
final_layernorm,1456,10.6987
final_layernorm,1472,10.72
final_layernorm,1488,10.7947
final_layernorm,1504,10.7627
final_layernorm,1520,10.7843
final_layernorm,1536,10.987
final_layernorm,1552,10.8907
final_layernorm,1568,10.8693
