layer,sequences,time_us
lm_head,1,349.215
lm_head,2,352.533
lm_head,3,355.861
lm_head,4,356.757
lm_head,5,314.101
lm_head,6,315.669
lm_head,7,335.316
lm_head,8,334.559
lm_head,9,327.434
lm_head,10,328.342
lm_head,11,332.564
lm_head,12,317.77
lm_head,13,316.906
lm_head,14,318.953
lm_head,15,320.32
lm_head,16,321.429
lm_head,20,357.269
lm_head,24,356.906
lm_head,28,355.583
lm_head,32,354.1
lm_head,36,356.064
lm_head,40,356.17
lm_head,44,355.338
lm_head,48,354.848
lm_head,52,358.058
lm_head,56,356.928
lm_head,60,357.365
lm_head,64,357.589
lm_head,80,350.197
lm_head,96,363.509
lm_head,112,366.293
lm_head,128,365.471
lm_head,144,335.211
lm_head,160,342.208
lm_head,176,381.866
lm_head,192,386.783
lm_head,208,475.754
lm_head,224,398.154
lm_head,240,488.468
lm_head,256,489.546
sampler,1,34.934
sampler,2,34.6023
sampler,3,34.752
sampler,4,34.752
sampler,5,34.88
sampler,6,35.851
sampler,7,36.3413
sampler,8,36.1383
sampler,9,36.651
sampler,10,37.9303
sampler,11,40.2347
sampler,12,40.149
sampler,13,40.5333
sampler,14,40.8633
sampler,15,41.2373
sampler,16,40.7787
sampler,20,42.2287
sampler,24,43.797
sampler,28,44.192
sampler,32,46.069
sampler,36,45.9627
sampler,40,47.8823
sampler,44,48.5653
sampler,48,50.2507
sampler,52,51.3803
sampler,56,52.4053
sampler,60,53.504
sampler,64,55.072
sampler,80,59.9247
sampler,96,67.1037
sampler,112,78.634
sampler,128,88.6073
sampler,144,94.8363
sampler,160,102.048
sampler,176,109.163
sampler,192,115.583
sampler,208,121.781
sampler,224,127.904
sampler,240,133.824
sampler,256,140.288
