prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.70133
0,0,1,64,7.744
0,0,1,256,8.98133
0,0,1,1024,9.92
0,0,1,4096,10.592
0,0,1,16384,15.84
0,0,2,16,10.229
0,0,2,64,10.485
0,0,2,256,11.3173
0,0,2,1024,12.6933
0,0,2,4096,12.9277
0,0,2,16384,19.1467
0,0,4,16,10.56
0,0,4,64,10.592
0,0,4,256,11.755
0,0,4,1024,12.9813
0,0,4,4096,13.8033
0,0,4,16384,21.7493
0,0,8,16,11.6797
0,0,8,64,11.7443
0,0,8,256,13.0553
0,0,8,1024,13.931
0,0,8,4096,15.4987
0,0,8,16384,25.5143
0,0,16,16,12.3413
0,0,16,64,11.9677
0,0,16,256,13.4613
0,0,16,1024,14.422
0,0,16,4096,20.4153
0,0,16,16384,34.432
0,0,32,16,12.5337
0,0,32,64,12.6187
0,0,32,256,14.112
0,0,32,1024,15.968
0,0,32,4096,23.6483
0,0,32,16384,52.2023
0,0,64,16,13.0237
0,0,64,64,13.1303
0,0,64,256,14.678
0,0,64,1024,18.8263
0,0,64,4096,33.8133
0,0,64,16384,88.8957
0,0,128,16,13.6637
0,0,128,64,13.8883
0,0,128,256,16.1387
0,0,128,1024,23.9993
0,0,128,4096,53.696
0,0,128,16384,162.347
0,0,256,16,17.109
0,0,256,64,16.9067
0,0,256,256,21.451
0,0,256,1024,37.7387
0,0,256,4096,95.744
0,0,256,16384,318.25
16,0,0,0,13.3757
16,0,1,16,18.5813
16,0,1,64,18.7833
16,0,1,256,19.9683
16,0,1,1024,20.8427
16,0,1,4096,21.525
16,0,1,16384,26.6237
16,0,2,16,20.9493
16,0,2,64,21.1727
16,0,2,256,22.4647
16,0,2,1024,23.264
16,0,2,4096,23.8827
16,0,2,16384,30.2723
16,0,4,16,22.4213
16,0,4,64,22.528
16,0,4,256,23.3163
16,0,4,1024,24.6403
16,0,4,4096,25.4617
16,0,4,16384,33.5253
16,0,8,16,22.5393
16,0,8,64,22.7737
16,0,8,256,23.7327
16,0,8,1024,24.682
16,0,8,4096,26.2393
16,0,8,16384,36.426
16,0,16,16,22.688
16,0,16,64,22.8367
16,0,16,256,23.8187
16,0,16,1024,25.206
16,0,16,4096,31.3177
16,0,16,16384,45.6323
16,0,32,16,22.8473
16,0,32,64,22.8693
16,0,32,256,23.9997
16,0,32,1024,26.3257
16,0,32,4096,33.7277
16,0,32,16384,62.9443
16,0,64,16,23.3277
16,0,64,64,23.3707
16,0,64,256,24.96
16,0,64,1024,29.6847
16,0,64,4096,44.6507
16,0,64,16384,100.16
16,0,128,16,24.2663
16,0,128,64,24.1603
16,0,128,256,26.901
16,0,128,1024,34.4953
16,0,128,4096,65.419
16,0,128,16384,172.714
16,16,0,0,13.2797
16,16,1,16,18.752
16,16,1,64,18.912
16,16,1,256,19.7327
16,16,1,1024,20.8417
16,16,1,4096,21.4607
