layer,tokens,time_us
act_fn,1,2.45333
act_fn,2,2.25067
act_fn,3,2.36833
act_fn,4,2.31467
act_fn,5,2.31467
act_fn,6,2.35733
act_fn,7,2.46433
act_fn,8,2.32533
act_fn,9,2.47467
act_fn,10,2.219
act_fn,11,2.61333
act_fn,12,2.67733
act_fn,13,2.66633
act_fn,14,2.60267
act_fn,15,2.69867
act_fn,16,2.68767
act_fn,20,2.66667
act_fn,24,2.74167
act_fn,28,2.73067
act_fn,32,2.70933
act_fn,36,2.73067
act_fn,40,2.73067
act_fn,44,2.82667
act_fn,48,2.78467
act_fn,52,2.82667
act_fn,56,2.82667
act_fn,60,2.859
act_fn,64,2.77333
act_fn,80,2.90133
act_fn,96,2.90133
act_fn,112,2.92267
act_fn,128,2.912
act_fn,144,3.37067
act_fn,160,4
act_fn,176,4
act_fn,192,4.128
act_fn,208,4.15967
act_fn,224,4.10667
act_fn,240,4.10633
act_fn,256,4.25633
act_fn,272,4.20267
act_fn,288,4.20233
act_fn,304,4.779
act_fn,320,4.93867
act_fn,336,4.95967
act_fn,352,4.97067
act_fn,368,5.02433
act_fn,384,5.15167
act_fn,400,4.96033
act_fn,416,5.003
act_fn,432,5.00267
act_fn,448,5.55733
act_fn,464,5.557
act_fn,480,5.73867
act_fn,496,5.72767
act_fn,512,5.771
act_fn,528,5.77067
act_fn,544,5.96267
act_fn,560,5.888
act_fn,576,5.95233
act_fn,592,6.03733
act_fn,608,6.57067
act_fn,624,6.65567
act_fn,640,6.816
act_fn,656,7.40267
act_fn,672,7.49867
act_fn,688,7.36
act_fn,704,7.424
act_fn,720,7.44533
act_fn,736,7.56267
act_fn,752,7.797
act_fn,768,7.96767
act_fn,784,8.01067
act_fn,800,8.192
act_fn,816,8.10667
act_fn,832,8.42633
act_fn,848,8.31967
act_fn,864,8.32
act_fn,880,8.45867
act_fn,896,8.64
act_fn,912,8.65033
act_fn,928,8.97067
act_fn,944,8.88533
act_fn,960,9.05567
act_fn,976,9.088
act_fn,992,9.17333
act_fn,1008,9.24833
act_fn,1024,9.25867
act_fn,1040,9.42933
act_fn,1056,9.70633
act_fn,1072,9.58933
act_fn,1088,9.54667
act_fn,1104,9.728
act_fn,1120,9.86667
act_fn,1136,10.0053
act_fn,1152,9.93067
act_fn,1168,10.176
act_fn,1184,10.1333
act_fn,1200,10.357
act_fn,1216,10.4213
act_fn,1232,10.3147
act_fn,1248,10.656
act_fn,1264,10.7517
act_fn,1280,10.7307
act_fn,1296,10.8693
act_fn,1312,10.8477
act_fn,1328,10.9013
act_fn,1344,11.2107
act_fn,1360,11.307
act_fn,1376,11.4877
act_fn,1392,11.4773
act_fn,1408,11.7333
act_fn,1424,11.9893
act_fn,1440,11.957
act_fn,1456,11.9787
act_fn,1472,12.117
act_fn,1488,12.2773
act_fn,1504,12.1493
act_fn,1520,12.2773
act_fn,1536,12.3413
act_fn,1552,12.4053
act_fn,1568,12.64
act_fn,1584,12.704
act_fn,1600,12.779
act_fn,1616,12.9173
act_fn,1632,12.8747
act_fn,1648,12.9923
act_fn,1664,13.237
act_fn,1680,13.088
act_fn,1696,13.248
act_fn,1712,13.4403
act_fn,1728,13.5783
act_fn,1744,13.5577
act_fn,1760,13.696
act_fn,1776,13.76
act_fn,1792,13.867
act_fn,1808,13.92
act_fn,1824,14.2613
act_fn,1840,14.0373
act_fn,1856,14.432
act_fn,1872,14.4533
act_fn,1888,14.5493
act_fn,1904,14.517
act_fn,1920,14.7627
act_fn,1936,14.699
act_fn,1952,14.784
act_fn,1968,14.88
act_fn,1984,15.0293
act_fn,2000,15.1573
act_fn,2016,15.3387
act_fn,2032,15.4987
act_fn,2048,15.5197
down_proj,1,36.224
down_proj,2,36.0213
down_proj,3,34.9223
down_proj,4,35.8293
down_proj,5,35.2427
down_proj,6,35.5517
down_proj,7,35.6263
down_proj,8,35.616
down_proj,9,36.224
down_proj,10,36.469
down_proj,11,36.6397
down_proj,12,36.512
down_proj,13,36.4907
down_proj,14,36.3947
down_proj,15,36.4267
down_proj,16,36.7147
down_proj,20,36.8957
down_proj,24,36.9273
down_proj,28,36.128
down_proj,32,36.5227
down_proj,36,36.4693
down_proj,40,37.088
down_proj,44,36.8217
down_proj,48,37.7493
down_proj,52,37.045
down_proj,56,37.3867
down_proj,60,37.1093
down_proj,64,38.368
down_proj,80,37.3547
down_proj,96,41.077
down_proj,112,38.848
down_proj,128,38.6133
down_proj,144,41.3017
down_proj,160,44.416
down_proj,176,44.4693
down_proj,192,45.2053
down_proj,208,46.752
down_proj,224,45.8133
down_proj,240,47.0187
down_proj,256,47.1573
down_proj,272,56.6077
down_proj,288,49.2053
down_proj,304,58.1337
down_proj,320,50.3253
down_proj,336,65.7703
down_proj,352,54.88
down_proj,368,56.7893
down_proj,384,56.2453
down_proj,400,58.4537
down_proj,416,58.2613
down_proj,432,60.832
down_proj,448,69.0133
down_proj,464,65.6743
down_proj,480,65.9947
down_proj,496,68.6507
down_proj,512,68.3943
down_proj,528,72.5013
down_proj,544,90.3783
down_proj,560,90.5387
down_proj,576,90.2827
down_proj,592,103.595
down_proj,608,103.818
down_proj,624,86.272
down_proj,640,87.2747
down_proj,656,106.186
down_proj,672,108.459
down_proj,688,106.954
down_proj,704,106.517
down_proj,720,106.869
down_proj,736,107.029
down_proj,752,106.987
down_proj,768,106.442
down_proj,784,108.459
down_proj,800,95.52
down_proj,816,107.509
down_proj,832,127.754
down_proj,848,115.136
down_proj,864,114.976
down_proj,880,103.317
down_proj,896,128.533
down_proj,912,122.325
down_proj,928,132.138
down_proj,944,122.165
down_proj,960,127.402
down_proj,976,137.899
down_proj,992,133.003
down_proj,1008,137.749
down_proj,1024,126.304
down_proj,1040,145.023
down_proj,1056,142.635
down_proj,1072,145.589
down_proj,1088,142.784
down_proj,1104,145.771
down_proj,1120,142.57
down_proj,1136,145.951
down_proj,1152,142.539
down_proj,1168,169.344
down_proj,1184,168.768
down_proj,1200,170.613
down_proj,1216,169.557
down_proj,1232,169.578
down_proj,1248,169.642
down_proj,1264,170.069
down_proj,1280,169.546
down_proj,1296,166.794
down_proj,1312,166.603
down_proj,1328,166.293
down_proj,1344,172.714
down_proj,1360,175.712
down_proj,1376,173.536
down_proj,1392,174.666
down_proj,1408,174.132
down_proj,1424,177.546
down_proj,1440,168.522
down_proj,1456,189.067
down_proj,1472,184.373
down_proj,1488,188.651
down_proj,1504,198.549
down_proj,1520,188.159
down_proj,1536,184.064
down_proj,1552,186.667
down_proj,1568,186.378
down_proj,1584,186.911
